representation,block,block_kind,family,feature_view,sample_count,positive_prevalence,mean_probability,median_probability,predicted_positive_fraction,accuracy,sensitivity,specificity,false_negative_rate,false_positive_rate,auroc,auprc,balanced_accuracy,split_test_rows,split_test_groups,split_purged_homolog_rows,split_purged_homolog_groups,split_train_rows,split_validation_rows
bioemu,classic_rcsb,classic,linear,combined,987.0,0.0,0.3780225326522728,0.33165574073791504,0.28976697061803447,0.7102330293819655,,0.7102330293819655,,0.28976697061803447,,,,987,844,697,311,5510,1378
bioemu,classic_rcsb,classic,tree,covariates,987.0,0.0,0.5601429559354704,0.5769700716017452,0.6433637284701115,0.3566362715298885,,0.3566362715298885,,0.6433637284701115,,,,987,844,697,311,5510,1378
bioemu,classic_rcsb,classic,tree,embedding,987.0,0.0,0.4841870619958857,0.47074390555236684,0.46808510638297873,0.5319148936170213,,0.5319148936170213,,0.46808510638297873,,,,987,844,697,311,5510,1378
bioemu,classic_rcsb,classic,tree,combined,987.0,0.0,0.4829031512700836,0.47174099301945865,0.46504559270516715,0.5349544072948328,,0.5349544072948328,,0.46504559270516715,,,,987,844,697,311,5510,1378
bioemu,classic_atlas,classic,linear,covariates,240.0,0.0,0.4843707134326299,0.46409134566783905,0.375,0.625,,0.625,,0.375,,,,240,221,158,74,6539,1635
bioemu,classic_atlas,classic,linear,embedding,240.0,0.0,0.4851386915892363,0.45328742265701294,0.42083333333333334,0.5791666666666667,,0.5791666666666667,,0.42083333333333334,,,,240,221,158,74,6539,1635
bioemu,classic_atlas,classic,linear,combined,240.0,0.0,0.479050917395701,0.45373158156871796,0.4166666666666667,0.5833333333333334,,0.5833333333333334,,0.4166666666666667,,,,240,221,158,74,6539,1635
bioemu,classic_atlas,classic,tree,covariates,240.0,0.0,0.5114253633774025,0.48252836691303286,0.4791666666666667,0.5208333333333334,,0.5208333333333334,,0.4791666666666667,,,,240,221,158,74,6539,1635
bioemu,classic_atlas,classic,tree,embedding,240.0,0.0,0.4925130249190956,0.4792651492324922,0.4625,0.5375,,0.5375,,0.4625,,,,240,221,158,74,6539,1635
bioemu,classic_atlas,classic,tree,combined,240.0,0.0,0.47969676892953766,0.44742118340566833,0.44166666666666665,0.5583333333333333,,0.5583333333333333,,0.44166666666666665,,,,240,221,158,74,6539,1635
bioemu,classic_pathpre_dynamic,classic,linear,covariates,1330.0,1.0,0.47260844262694957,0.45755842328071594,0.38421052631578945,0.38421052631578945,0.38421052631578945,,0.6157894736842106,,,,,1330,1170,541,275,5361,1340
bioemu,classic_pathpre_dynamic,classic,linear,embedding,1330.0,1.0,0.3794618981479863,0.329848974943161,0.3157894736842105,0.3157894736842105,0.3157894736842105,,0.6842105263157895,,,,,1330,1170,541,275,5361,1340
bioemu,classic_pathpre_dynamic,classic,linear,combined,1330.0,1.0,0.3794600228314232,0.3262172192335129,0.3150375939849624,0.3150375939849624,0.3150375939849624,,0.6849624060150376,,,,,1330,1170,541,275,5361,1340
bioemu,classic_pathpre_dynamic,classic,tree,covariates,1330.0,1.0,0.3828134397334281,0.3658941614035355,0.24586466165413534,0.24586466165413534,0.24586466165413534,,0.7541353383458647,,,,,1330,1170,541,275,5361,1340
bioemu,classic_pathpre_dynamic,classic,tree,embedding,1330.0,1.0,0.34379145584390025,0.30467824378250635,0.2887218045112782,0.2887218045112782,0.2887218045112782,,0.7112781954887218,,,,,1330,1170,541,275,5361,1340
bioemu,classic_pathpre_dynamic,classic,tree,combined,1330.0,1.0,0.34565199243810396,0.29379054606702526,0.2879699248120301,0.2879699248120301,0.2879699248120301,,0.7120300751879699,,,,,1330,1170,541,275,5361,1340
bioemu,classic_pathpre_static,classic,linear,covariates,3065.0,0.0,0.47508418824019283,0.4637798070907593,0.40163132137030993,0.59836867862969,,0.59836867862969,,0.40163132137030993,,,,3065,2783,1334,753,3338,835
bioemu,classic_pathpre_static,classic,linear,embedding,3065.0,0.0,0.46762708658158786,0.4536402225494385,0.44404567699836867,0.5559543230016313,,0.5559543230016313,,0.44404567699836867,,,,3065,2783,1334,753,3338,835
bioemu,classic_pathpre_static,classic,linear,combined,3065.0,0.0,0.4651871972080004,0.4482903480529785,0.43523654159869496,0.564763458401305,,0.564763458401305,,0.43523654159869496,,,,3065,2783,1334,753,3338,835
bioemu,classic_pathpre_static,classic,tree,covariates,3065.0,0.0,0.7901054728151405,0.8281299033851441,0.9481239804241436,0.05187601957585644,,0.05187601957585644,,0.9481239804241436,,,,3065,2783,1334,753,3338,835
bioemu,classic_pathpre_static,classic,tree,embedding,3065.0,0.0,0.7713497890617163,0.8218316034094024,0.9044045676998369,0.09559543230016314,,0.09559543230016314,,0.9044045676998369,,,,3065,2783,1334,753,3338,835
bioemu,classic_pathpre_static,classic,tree,combined,3065.0,0.0,0.7841350551190315,0.8354016102831546,0.9099510603588907,0.0900489396411093,,0.0900489396411093,,0.9099510603588907,,,,3065,2783,1334,753,3338,835
bioemu,classic_pathpre_all,classic,linear,covariates,4395.0,0.3026166097838453,0.4728704117518236,0.4649985730648041,0.39954493742889646,0.5949943117178612,0.49097744360902257,0.6401305057096248,0.5090225563909775,0.3598694942903752,0.6022125869322572,0.38266088007797594,0.5655539746593237,4395,3836,1360,860,2254,563
bioemu,classic_pathpre_all,classic,linear,embedding,4395.0,0.3026166097838453,0.4217900809140908,0.39812853932380676,0.3838452787258248,0.6129692832764505,0.49473684210526314,0.6642740619902121,0.5052631578947369,0.33572593800978795,0.6067786922444774,0.4031104044621062,0.5795054520477376,4395,3836,1360,860,2254,563
bioemu,classic_pathpre_all,classic,linear,combined,4395.0,0.3026166097838453,0.41753798317667723,0.38562071323394775,0.37861205915813423,0.6191126279863481,0.49624060150375937,0.6724306688417618,0.5037593984962406,0.32756933115823816,0.6115872879588857,0.4025790050892742,0.5843356351727607,4395,3836,1360,860,2254,563
bioemu,classic_pathpre_all,classic,tree,covariates,4395.0,0.3026166097838453,0.7158758333284193,0.7499626631408323,0.8709897610921502,0.36018202502844143,0.8819548872180452,0.13376835236541598,0.11804511278195488,0.866231647634584,0.5506386684492635,0.34228461830873935,0.5078616197917306,4395,3836,1360,860,2254,563
bioemu,classic_pathpre_all,classic,tree,embedding,4395.0,0.3026166097838453,0.6363106576790335,0.714266012448558,0.701023890784983,0.4555176336746303,0.7586466165413533,0.32398042414355627,0.24135338345864663,0.6760195758564437,0.5910750775797569,0.4024605438966614,0.5413135203424548,4395,3836,1360,860,2254,563
bioemu,classic_pathpre_all,classic,tree,combined,4395.0,0.3026166097838453,0.6457446974349192,0.725408455709057,0.7149032992036405,0.44800910125142207,0.7691729323308271,0.30864600326264274,0.23082706766917294,0.6913539967373573,0.5971435930773099,0.410548503315417,0.5389094677967349,4395,3836,1360,860,2254,563
bioemu,paired_dynamicmpnn_rcsb,paired,linear,covariates,3790.0,0.7395778364116095,0.44643966055875717,0.41997130215168,0.3403693931398417,0.449868073878628,0.3581876560827685,0.7102330293819655,0.6418123439172315,0.28976697061803447,0.5490249446876465,0.7802886188270075,0.534210342732367,3790,3182,1186,816,2878,718
bioemu,paired_dynamicmpnn_rcsb,paired,linear,embedding,3790.0,0.7395778364116095,0.35132983391093936,0.23934007436037064,0.30237467018469655,0.4139841688654354,0.3082411701748127,0.7142857142857143,0.6917588298251873,0.2857142857142857,0.5115050779650259,0.7498907500740533,0.5112634422302635,3790,3182,1186,816,2878,718
