feature_id,proteins,mean_hinge_activation,mean_control_activation,mean_hinge_minus_control,median_hinge_minus_control,protein_sign_flip_p,protein_sign_flip_fdr,hinge_effect_rank,displacement_balanced_spearman,displacement_fdr,prs_balanced_spearman,prs_fdr,transition_associated_both_fdr_005
3985,3,32.07151667277018,25.063421885172527,7.008095105489095,3.1281862258911133,0.5555555555555556,1.0,20,0.04638160040147679,0.00023510852129482804,-0.007269264665160163,0.1881757770168929,False
3382,3,6.892458597819011,0.15134874979654947,6.741109848022461,0.0,1.0,1.0,21,0.009904925432093412,0.0016108516975244464,0.008311655480991897,0.09585424436279777,False
3346,3,14.747441927591959,8.007394924759865,6.740047002832095,6.641345024108887,0.5555555555555556,1.0,22,-0.06720208842988536,0.00023510852129482804,0.007339604766987799,0.20881742811634332,False
1179,3,8.070645650227865,1.3349090417226155,6.735736608505249,0.0,1.0,1.0,23,0.041332231196879586,0.00023510852129482804,-0.007128729333048684,0.1881757770168929,False
3655,3,7.418926239013672,0.8605213711659113,6.55840486784776,0.0,1.0,1.0,24,0.044983119025932695,0.00023510852129482804,-0.0008235209398836079,0.947397788788364,False
2436,3,11.261737187703451,4.732976675033569,6.5287604331970215,2.357949733734131,0.5555555555555556,1.0,25,0.04677977820635585,0.00023510852129482804,0.009789458010953591,0.0847363539508118,False
2086,3,22.54841701189677,16.051315943400066,6.4971011479695635,10.576905250549316,0.7777777777777778,1.0,26,-0.023363137439877474,0.00023510852129482804,0.012224677555371351,0.017064960170649603,True
2780,3,11.777799288431803,5.631780803203583,6.146018485228221,8.027910232543945,0.5555555555555556,1.0,27,-0.03547464263929561,0.00023510852129482804,-0.0051506241575567085,0.3544260958519532,False
707,3,6.442513783772786,0.3505185420314471,6.09199524174134,0.0,1.0,1.0,28,-0.01615514626930413,0.00023510852129482804,0.004503640242782192,0.5115424965439964,False
3530,3,6.260270277659099,0.19692480564117432,6.063345472017924,5.56048059463501,0.5555555555555556,1.0,29,0.002988464847382646,0.3856641173688932,0.009657958148004138,0.044276653415739504,False
710,3,7.055391311645508,1.0858846853176753,5.969506626327832,7.907846927642822,0.5555555555555556,1.0,30,-0.012351611168624417,0.00044517287401694614,0.004739570146484648,0.5109269512170539,False
910,3,10.916479110717773,5.098615805308024,5.817863384882609,3.773646593093872,0.7777777777777778,1.0,31,-0.019402284784362473,0.00023510852129482804,0.008485782812929306,0.09812352098123521,False
3356,3,8.034890333811441,2.284397025903066,5.750493307908376,5.861353874206543,0.5555555555555556,1.0,32,0.10360830903412271,0.00023510852129482804,0.01227931318962831,0.008030569492070401,True
1403,3,9.919537504514059,4.183478275934855,5.736059248447418,0.0,1.0,1.0,33,-0.07778091826513091,0.00023510852129482804,-0.002282244579418147,0.8124817147914838,False
3824,3,7.584047953287761,1.930602918068568,5.6534450352191925,-0.46975430846214294,1.0,1.0,34,0.00508288075635467,0.1337672684344469,-0.0005203856213890048,0.9703329858742419,False
2596,3,13.527820309003195,7.998562812805176,5.529257535934448,-2.8294570446014404,1.0,1.0,35,-0.09939653645198265,0.00023510852129482804,0.012420732402253304,0.008030569492070401,True
715,3,18.127277374267578,12.63634475072225,5.490932424863179,1.5633958578109741,0.7777777777777778,1.0,36,0.14565109860873382,0.00023510852129482804,0.005185168961395651,0.4083667324679468,False
565,3,6.368539333343506,0.9355969230333964,5.432942410310109,4.314023494720459,0.5555555555555556,1.0,37,-0.04445526225867723,0.00023510852129482804,0.007433947519954482,0.1616680437219436,False
1880,3,21.6764554977417,16.26206620534261,5.414389292399089,8.570680618286133,0.7777777777777778,1.0,38,0.08619138335485392,0.00023510852129482804,-0.01202979816204677,0.008030569492070401,True
1131,3,5.501920064290364,0.3686690578858058,5.133251006404559,-0.09636405110359192,1.0,1.0,39,0.03181819860337438,0.00023510852129482804,-0.009297145991105924,0.030827024824399283,True
3926,3,6.123262882232666,1.0741337140401204,5.049129168192546,6.967469215393066,0.5555555555555556,1.0,40,-0.04078986906436366,0.00023510852129482804,0.007595966588973433,0.1881757770168929,False
4038,3,5.205830891927083,0.2847391764322917,4.921091715494792,0.0,1.0,1.0,41,0.057495780488494956,0.00023510852129482804,0.002272849193776601,0.8445947340057929,False
2544,3,5.9212050040562945,1.0393709341684978,4.881834069887797,0.0,1.0,1.0,42,-0.03559411176051432,0.00023510852129482804,0.0007262117201318384,0.9486458761531255,False
944,3,6.355681419372559,1.511437972386678,4.844243446985881,2.516296863555908,0.5555555555555556,1.0,43,0.05986922397554462,0.00023510852129482804,-0.00885244821950436,0.0847363539508118,False
2366,3,7.279687404632568,2.4642040580511093,4.815483306845029,-0.22939081490039825,1.0,1.0,44,0.0911043079486902,0.00023510852129482804,-0.0011500824362982562,0.9338247075200653,False
1646,3,5.505606333414714,0.8985577821731567,4.607048551241557,0.0,1.0,1.0,45,-0.06259174423227233,0.00023510852129482804,-0.003749644431324432,0.6408629332052868,False
917,3,4.840700467427571,0.23809983332951865,4.602600634098053,4.870053768157959,0.5555555555555556,1.0,46,-0.043551183374552827,0.00023510852129482804,0.005690575860411356,0.371351408230699,False
2219,3,5.326087315877278,0.8105977376302084,4.51548957824707,0.0,1.0,1.0,47,4.040184826040539e-05,0.9915059424517881,-3.315673961120257e-05,0.997388445876611,False
1624,3,57.57463455200195,53.28081258138021,4.2938229242960615,5.263606071472168,0.5555555555555556,1.0,48,-0.07707366099845611,0.00023510852129482804,-0.0017689667449547629,0.8727966014040223,False
1497,3,5.340892155965169,1.049593408902486,4.291298747062683,0.0,1.0,1.0,49,-0.049512243393979374,0.00023510852129482804,0.004645348533882767,0.4868177705273417,False
3947,3,6.405701319376628,2.1198628743489585,4.285838445027669,0.0,1.0,1.0,50,0.004690196013219036,0.17074949415627544,-0.0006094953885371455,0.9615435888730413,False
